user_id,n,pred_rmse,pred_mae,pred_usernorm_log_rmse,pred_usernorm_log_mae
U125,4669,210.61065832018147,98.71491899773142,174.45184179897015,84.12899367472713
U268,32064,85.99971400193459,29.90052287012042,117.84182365956407,39.648937052196025
U50,11135,23.686333778575875,8.859599136823832,23.484279825898852,7.109075973112093
U376,11136,22.310002088693615,13.153534583246959,69.60315539723423,31.053547776311536
U266,11136,20.270783282267427,10.757346862615977,20.441715134742832,9.712511862830581
U228,4669,15.762295594317507,6.108283339940744,16.936375427286,5.8900098915102825
U382,11136,8.360836857758876,3.5646026470672525,7.6828199041659,2.8451333133707304
U14,32063,6.041634397842501,2.5687353575215406,5.354767218152765,2.1337470404047862
U354,32063,4.472395362965905,1.3181693063045552,2.864061497542197,0.7594886647343639
U137,32256,0.6930384069667888,0.3599338288912365,0.5011799730746067,0.17315117385506437
U19,11135,0.621930261747121,0.238276953159991,0.5204292998955073,0.07838602240669822
